,koi_id,kic_id,kep_mag,Rstar,logrho,Teff,FeH,logg,limbdark_1,limbdark_2,npl,period,epoch,depth,duration,impact,ecc,omega,ror,dor,ttv_type
450,K02736,10842192,15.911,0.6708380667966097,0.36862045429679335,4490.8523557387325,-0.24875393191359893,4.637,0.7221976321544409,0.028824167465671808,1,9.33648141,146.4493140605686,0.0008856576000000001,0.12020533181154944,0.04962774153076023,0.022256126595335594,2.4948451447571864,0.02976,25.094,sinusoidal
451,K02745,12456601,15.241,1.0288712943166616,-0.031178242380696816,5787.507054016237,-0.004247352312571183,4.39,0.5535010162990023,-0.06636163578529242,1,15.64588656,155.71915280593325,0.0005721664000000001,0.08119829366064649,0.9376749937397484,0.021934590146416754,2.808839412363551,0.02392,25.061,sinusoidal
452,K02747,6586746,15.329,0.7487838712102901,0.2901702494325651,4803.124828576149,-0.16532853695698385,4.573,0.48258338603520123,0.24578663739154635,1,6.26404774,136.7007557354759,0.00037869160000000005,0.08917731752804374,0.6373404303202753,0.024209746305310455,0.7450101447135942,0.01946,17.516,smooth
453,K02751,9881077,15.858,0.6856169542967114,0.31840212892684666,4349.259634775481,0.22292220454341302,4.599,0.669836913887141,0.11760811717601868,1,24.4004378,150.7038766872682,0.0008602489,0.17364434843543977,0.009380702809636375,0.01865798214787576,0.9677567222289003,0.02933,45.338,gaussian
454,K02755,3545135,12.147,0.9663056671835619,-0.006371156160853634,5758.886131827989,-0.22812744008787178,4.436,0.5968765442671867,-0.1287763301649513,1,8.48299282,138.2087180222497,6.905609999999999e-05,0.15116931823124577,0.10484334124047405,0.011412049558194184,1.230607138290635,0.00831,17.731,smooth
455,K02768,9008737,15.228,0.7866062996352856,0.18160728523906514,5362.460331152936,-0.10993176392773611,4.563,0.6385094307281227,-0.04827185338201783,1,11.83271013,144.90603406131027,0.0001763584,0.14092763890222734,0.28060675897849036,0.0019532105002383207,3.26818720157169,0.01328,26.036,sinusoidal
456,K02779,11874577,14.936,1.4809595687679546,-0.5118092661770769,6121.629363840052,0.04469131404180018,4.149,0.7731660987037365,0.1525679624110078,1,34.4585495,169.1219321631644,0.0004309776,0.30580751097037157,0.5402529069454507,0.015001936783536314,4.127285847122818,0.02076,31.462,cubic
457,K02785,10001368,14.083,1.1553886053781977,-0.15276999720863169,5855.945273256839,-0.023502071815727332,4.341,0.6042258357140341,-0.10444172167204796,1,4.76831033,137.8081997589617,0.00025185689999999994,0.1340295046102898,0.41849634886033565,0.01118470326855663,4.6961016672239015,0.01587,10.622,sinusoidal
458,K02789,8885643,14.497,0.9218651392222162,0.0837630538138913,5769.651675002814,-0.28923192510433327,4.477,0.5529556341253746,0.09752285120666296,1,3.40165617,134.16433329419036,0.00015600009999999998,0.10182925267673856,0.34689586506879766,0.0019235499322393683,1.1096430670924793,0.01249,10.118,smooth
459,K02791,11662184,14.718,1.212471619838064,-0.3093812554283271,5942.421986620626,-0.012740519731272576,4.267,0.6199773802097491,-0.054010144450301646,1,27.5722144,162.4363536093943,0.0002961841,0.24834855843477419,0.491265036098263,0.004674552247758014,4.012245677428784,0.01721,31.598,none
